Name,Location,Description,Strava,Website
巍巍南开,Around the world,南开大学校友跑团,https://www.strava.com/clubs/nankai,
鹿跑团DEER,"Wilmington,DE.; Newark,DE","DEER（鹿跑团）是由热爱户外跑步和健康美食的朋友自发组成，基于特拉华北部及周边地区，旨在发展和鼓励本地华人快乐跑步，健康饮食，志愿公益的非盈利团体。中文名称为 “鹿跑团” 或者 “鹿跑群” ，英文全称为 “DEER Running""。鹿跑团积极倡导健康、快乐、公益、环保的运动理念，定期组织跑步活动，发布活动信息，分享运动经验，报名跑步赛事，参加志愿公益服务等。
DEER Running Club is a spin-off from the Marathon Relay Teams organized by staff and parents from Delaware's Chun Hui Chinese School after three years of participation in Delaware's Running Festival in Wilmington on Mother's Day since 2015.

On July 26, 2017, DEER Running Club was officially named to include amateur, serious, and professional Chinese runners in Delaware and surrounding areas. 
​
DEER promotes healthy and happy lifestyles and environmental awareness.
​
We all meet in DE as runnERs. Go Deers!",https://www.strava.com/clubs/DeerRunning,www.deerrunning.org
飛狐PHIRE,"Valley Forge，PA
Peace Valley，PA
Philadelphia，PA",飛狐PHIRE (Philadelphia Running Echo)，是由一群居住在大費城地區的喜愛跑步的華人朋友自發組成，追求快樂跑步，健康生活，和結識朋友的理念。其隊徽設計理念採用了福吉谷乃至大費城地區常見到的美國獨立戰爭時期的加農炮。昔日炮火聲，今日跑步聲，聲聲入耳，響徹谷底。發音也和fire相似，有開火、起跑的意思。跑團屬於飛狐華人體育協會的分支。,https://www.strava.com/clubs/PhireRunners,https://phirerunners.blogspot.com/
ChiRunners 驰,"Knoch Knoll Nature Center, 320 Knoch Knoll Rd, Naperville, IL 60565
Busse woods, Elk Grove Village, IL 60007","驰跑团（ChiRunners）是大芝加哥地区华人跑步爱好者自发成立的一个民间组织。驰跑团始建于2013年，由芝加哥北郊绿湖跑步俱乐部开始，随着芝北畅跑群和西郊信实马拉松群的加入，队伍日益壮大。在2015年正式定名为“驰”跑团，如今已拥有了共八支分队，会员四百余人，队旗插遍芝加哥城内和各郊区。

每个周六的清晨，不管你是漫步芝城湖滨，或是游走于郊外的河边林间，您都有可能与一群身着火焰红队服，胸前有着大大的”驰ChiRunners”标志的晨跑队员们不期而遇。",https://www.strava.com/clubs/chirunners,http://chirunners.org
Trail Hoppers 山道蚱蜢,Princeton，NJ,"Trail Hoppers(山道蚱蜢）:
2015年母亲节的一次十英里慈善公益跑，将新泽西中部一些热爱跑步的朋友们聚集在了一起，一个基于普林斯顿地区的跑团---Trail Hoppers就这样诞生了！星星之火可以燎原，当年只有十几个人的小小跑团，经过不到四年，已经发展成为一个80人的跑群。虽然我们的职业，个性，人生经历都各有不同，跑步这个共同的爱好却将我们紧紧地连在了一起。跑团虽然不大，但是活动非常丰富多彩。这四年里，Trail Hoppers 先后组织参加了若干次半马，全马甚至超马比赛。各种越野跑山以及铁人三项更是我们蚱蜢跑团的特色。仅今年春夏秋三季就有以下活动：
今年4月28日，新泽西马拉松将是跑团的邱峰老师跑遍美国50州的收官之战，跑团将倾情出动为邱老师庆祝。
随后5月4日，群里将有13名勇将参加TNF熊山越野赛，距离分别为马拉松，50公里和50英里。
6月1日，二十余名越野队员们将去大峡谷穿越，其中8名队员挑战双向穿越。
7月20-21日，二十名队员将参加新泽西铁人三项比赛。
10月中旬，Wawayanda Ragnar 130英里越野接力，我们男女各一队参赛。
当然在重大马拉松赛事中，诸如波🐎，芝麻，和纽🐎，也少不了蚱蜢们的身影和热情似火的啦啦队。
赛场上随处可见穿着黄绿色队服的越野蚱蜢们，从跑五百米就上气不接下气到轻松自如信心百倍地跑完一个个半马全🐎，到越来越多的队员成功BQNQ；从2016年第一次10英里山羊屁股越野赛到如今挑战熊山50迈，蚱蜢越野跑团不知改变了多少人的生活，又给多少人的生命注入了新的活力？让我们一起为了健康，快乐地奔跑吧….
",https://www.strava.com/clubs/452045,
三头牛跑吧,"Salado Creek Trail 29.584286, -98.541106
Leon Creek Greenway
Medical Center","我们是德州圣安东尼奥一群热爱长跑的华人朋友，我们是“三头牛跑吧”。我们经常约跑，每月初第一个周日有月跑。时常参与地区性的跑马或短距离跑或接力的比赛，比如休斯顿马拉松，圣安马拉松等等。队里有一两位大牛参与了波士顿马拉松。我们相信长跑有益于身心灵的健康和朝气，以及华人社区的团结向上！
We are a group of Chinese Runners in San Antonio, Texas. Our team English name is San Antonio Chinese Runners. We run together regularly.",https://www.strava.com/clubs/479503,
百駿 Bergen Runners,1133E Ridgewood ave Ridgewood,"Bergen Runners is a group of runners who believe in supporting and cheering for one another. We come from North NJ townships along Route 4, Route 17 and west of the Hudson River. Away from running, we come from all walks of life: professionals, scientists, artists, parents, husbands, wives, children, couples, singles, etc…Our running paths wind through major parks and hidden trails in various neighborhoods. Together, we run into the sunrise and sunset; we sweat and laugh through personal and physical challenges.",https://www.strava.com/clubs/327007,https://www.bergenrunners.org
大华府蒙郡跑团，MARC,"(39.077048, -77.183204) (39.031631, -77.243549)",大华府蒙郡跑团（Montgomery Asian Running Club - MARC）创建于2016年初，以微信群的方式服务大华府蒙郡及周边跑步爱好者，旨在以跑会友，健体强身,,https://www.facebook.com/groups/GRIT.MARC/
BURN Running Club,California,Bay Area running club ，美国华人跑团BURN,https://www.strava.com/clubs/burnrunning,Burnrunning.org
东奔西跑，WERun,"Loantaka Brook Reservation (468 South St, Morristown, NJ 07962); Brookside Ave. (200 Glen Ave, Millburn, NJ 07041); 北湖 (Orange Reservoir)","WERun (West-East Run) is a NJ running group formed in social media in 2015. Most of its memers reside in Millburn/Livingston and nearby towns. The mission of the group is to promote running as a healthy living style and help each other to achieve such goal. It has been very active with multiple weekly activities, such as long runs and speed trainings. Members have participated in many running race events in NJ / NY, from local 5k for charities to TCS NYC Marathon. Today it has more than 300 members and is growing.",https://www.strava.com/clubs/WE_Run,
